enroll_id,student_id,course_id,enroll_date,status,attendance_rate,homework_completion_rate
1,1,3,2025-03-29,completed,86.2,47.2
2,1,2,2024-12-17,no_show,45.0,30.6
3,1,4,2025-06-12,dropped,40.8,98.7
4,2,3,2025-02-22,no_show,49.4,43.3
5,2,2,2024-10-23,completed,46.6,95.4
6,2,4,2024-08-30,completed,49.6,57.8
7,3,5,2024-10-22,completed,49.7,78.6
8,3,2,2025-07-31,active,53.2,79.3
9,3,4,2025-06-02,dropped,78.7,58.7
10,4,2,2024-09-17,no_show,67.1,37.5
11,4,1,2024-09-20,active,90.2,60.4
12,5,2,2025-08-24,active,92.8,73.1
13,5,5,2025-07-22,no_show,62.4,59.5
14,5,2,2025-03-15,dropped,82.9,48.0
15,6,2,2024-09-10,dropped,96.4,60.3
16,6,3,2025-03-28,active,49.8,99.8
17,7,1,2025-08-02,completed,45.8,84.4
18,7,5,2024-11-17,dropped,79.9,65.7
19,7,5,2024-10-17,no_show,74.4,93.2
20,8,2,2024-12-06,no_show,67.1,32.1
21,8,4,2025-07-10,completed,47.2,82.7
22,8,5,2025-03-16,active,57.2,41.0
23,8,2,2024-12-16,dropped,60.0,61.3
24,9,1,2025-01-22,completed,79.5,86.1
25,9,5,2025-04-13,no_show,74.4,95.3
26,9,3,2025-05-08,dropped,56.4,91.8
27,9,2,2024-11-09,no_show,72.2,45.9
28,10,4,2024-10-22,active,49.6,54.5
29,10,3,2025-02-13,dropped,72.5,68.7
30,11,5,2024-10-05,active,87.8,71.6
31,11,4,2024-09-18,dropped,48.7,45.5
32,11,4,2025-08-08,active,52.8,44.4
33,11,1,2025-02-25,no_show,42.7,34.7
34,12,3,2024-12-22,completed,68.5,51.9
35,12,3,2025-06-03,completed,67.9,42.5
36,12,3,2025-02-11,dropped,44.6,65.4
37,12,5,2024-10-23,dropped,55.6,69.4
38,12,5,2024-09-24,completed,62.4,48.3
39,13,1,2025-08-25,active,53.4,88.8
40,13,1,2025-05-10,dropped,67.7,60.7
41,13,2,2025-08-15,active,60.4,48.4
42,13,5,2025-04-01,active,82.8,97.1
43,14,5,2024-09-01,completed,54.1,39.4
44,15,2,2025-02-11,completed,40.5,47.1
45,15,5,2025-08-25,completed,44.4,55.5
46,15,2,2024-12-19,completed,78.8,82.8
47,16,3,2025-06-14,dropped,57.6,59.2
48,16,3,2025-04-19,dropped,82.4,76.6
49,16,1,2025-03-10,dropped,67.7,54.1
50,17,3,2025-02-24,no_show,86.2,43.0
51,17,2,2025-06-26,active,83.2,84.9
52,18,5,2025-06-13,active,59.5,96.0
53,18,2,2024-12-06,no_show,62.2,45.5
54,18,4,2025-08-10,dropped,50.7,38.5
55,18,5,2025-06-06,completed,90.2,59.5
56,19,4,2025-05-23,dropped,46.8,40.3
57,19,4,2025-01-03,completed,54.0,50.5
58,19,1,2025-08-23,active,95.6,45.6
59,19,3,2025-04-08,no_show,68.0,62.3
60,20,4,2025-01-31,completed,90.0,52.4
61,20,1,2025-01-29,completed,78.1,42.2
62,20,2,2025-03-13,completed,64.7,98.9
63,20,5,2025-01-23,dropped,73.8,71.0
64,20,4,2025-03-03,dropped,76.7,44.4
65,21,4,2024-09-13,active,46.5,58.0
66,21,1,2025-05-09,active,48.9,32.6
67,22,2,2025-05-23,active,81.3,85.2
68,22,4,2025-02-27,dropped,94.8,69.8
69,22,1,2024-09-27,completed,68.1,37.9
70,22,3,2025-04-11,active,47.3,99.0
71,23,2,2025-07-30,no_show,59.8,61.8
72,23,4,2025-06-17,completed,56.9,72.3
73,23,5,2025-02-22,active,76.5,74.0
74,23,1,2025-04-10,no_show,76.7,47.9
75,23,4,2025-07-18,active,98.6,51.6
76,24,5,2025-05-30,no_show,94.4,76.3
77,24,1,2025-04-24,active,88.2,53.1
78,24,5,2025-08-27,no_show,44.8,78.6
79,24,2,2024-12-20,dropped,59.1,61.2
80,25,5,2024-09-21,active,55.8,46.7
81,25,5,2024-10-09,dropped,59.8,64.1
82,25,5,2025-03-27,active,78.5,46.0
83,26,1,2025-01-23,dropped,87.5,90.9
84,26,5,2024-09-30,dropped,96.3,90.8
85,27,5,2025-04-22,dropped,45.4,87.3
86,27,1,2025-02-02,dropped,69.7,96.4
87,27,2,2025-07-29,active,77.8,76.3
88,27,2,2024-08-31,no_show,89.8,51.1
89,28,2,2024-09-23,completed,48.6,86.8
90,28,4,2025-05-14,completed,62.4,31.4
91,28,3,2024-10-07,active,67.9,42.4
92,29,1,2025-02-14,active,41.6,86.9
93,29,4,2025-04-09,active,61.6,94.2
94,30,5,2025-07-23,completed,97.9,47.3
95,30,1,2025-02-11,active,78.8,87.0
96,31,1,2024-09-22,no_show,96.9,36.0
